"year","flights","origin_iso","destination_iso","originregion_name","destinationregion_name","origin_name","destination_name","ftype"
2001,64416,"GB","IE","ESRA North-West","ESRA North-West","United Kingdom","Ireland","internal"
2001,7696,"CY","GB","ESRA Mediterranean","ESRA North-West","Cyprus","United Kingdom","internal"
2001,463888,"ES","ES","ESRA Mediterranean","ESRA Mediterranean","Spain","Spain","internal"
2001,1867,"DK","LT","ESRA North-West","Other Europe","Denmark","Lithuania","internal"
2001,4951,"TR","FR","ESRA Mediterranean","ESRA North-West","Turkey","France","internal"
2001,27942,"CH","CH","ESRA North-West","ESRA North-West","Switzerland","Switzerland","internal"
2001,17225,"IT","CH","ESRA Mediterranean","ESRA North-West","Italy","Switzerland","internal"
2001,35590,"FR","CH","ESRA North-West","ESRA North-West","France","Switzerland","internal"
2001,1500,"HU","NL","ESRA East","ESRA North-West","Hungary","Netherlands","internal"
2001,75715,"GB","FR","ESRA North-West","ESRA North-West","United Kingdom","France","internal"
2001,16839,"IT","BE","ESRA Mediterranean","ESRA North-West","Italy","Belgium","internal"
2001,19307,"BE","FR","ESRA North-West","ESRA North-West","Belgium","France","internal"
2001,6016,"AT","NL","ESRA North-West","ESRA North-West","Austria","Netherlands","internal"
2001,60213,"NL","GB","ESRA North-West","ESRA North-West","Netherlands","United Kingdom","internal"
2001,26609,"AT","AT","ESRA North-West","ESRA North-West","Austria","Austria","internal"
2001,12089,"NL","IT","ESRA North-West","ESRA Mediterranean","Netherlands","Italy","internal"
2001,51756,"DK","DK","ESRA North-West","ESRA North-West","Denmark","Denmark","internal"
2001,4464,"DK","CH","ESRA North-West","ESRA North-West","Denmark","Switzerland","internal"
2001,477,"CY","IT","ESRA Mediterranean","ESRA Mediterranean","Cyprus","Italy","internal"
2001,1163,"AT","BG","ESRA North-West","ESRA East","Austria","Bulgaria","internal"
2001,13986,"PL","DE","ESRA East","ESRA North-West","Poland","Germany","internal"
2001,3042,"CH","TR","ESRA North-West","ESRA Mediterranean","Switzerland","Turkey","internal"
2001,7463,"IT","AT","ESRA Mediterranean","ESRA North-West","Italy","Austria","internal"
2001,3436,"PT","CH","ESRA Mediterranean","ESRA North-West","Portugal","Switzerland","internal"
2001,3599,"CZ","GB","ESRA East","ESRA North-West","Czech Republic","United Kingdom","internal"
2001,1495,"BE","NO","ESRA North-West","ESRA North-West","Belgium","Norway","internal"
2001,176,"MT","GR","ESRA Mediterranean","ESRA Mediterranean","Malta","Greece","internal"
2001,5318,"TR","NL","ESRA Mediterranean","ESRA North-West","Turkey","Netherlands","internal"
2001,1777,"EE","SE","Other Europe","ESRA North-West","Estonia","Sweden","internal"
2001,477,"PT","SE","ESRA Mediterranean","ESRA North-West","Portugal","Sweden","internal"
2001,2218,"PL","IT","ESRA East","ESRA Mediterranean","Poland","Italy","internal"
2001,992,"TR","ES","ESRA Mediterranean","ESRA Mediterranean","Turkey","Spain","internal"
2001,2035,"MT","IT","ESRA Mediterranean","ESRA Mediterranean","Malta","Italy","internal"
2001,9119,"PT","DE","ESRA Mediterranean","ESRA North-West","Portugal","Germany","internal"
2001,1421,"IT","HU","ESRA Mediterranean","ESRA East","Italy","Hungary","internal"
2001,1139,"CH","FI","ESRA North-West","ESRA North-West","Switzerland","Finland","internal"
2001,992,"HR","BA","ESRA East","ESRA East","Croatia","Bosnia and Herzegovina","internal"
2001,429,"TR","SI","ESRA Mediterranean","ESRA East","Turkey","Slovenia","internal"
2001,640,"SJ","NO","ESRA North-West","ESRA North-West","Svalbard and Jan Mayen","Norway","internal"
2001,1876,"FI","ES","ESRA North-West","ESRA Mediterranean","Finland","Spain","internal"
2001,3869,"GB","MT","ESRA North-West","ESRA Mediterranean","United Kingdom","Malta","internal"
2001,1392,"DK","IE","ESRA North-West","ESRA North-West","Denmark","Ireland","internal"
2001,445,"SE","PT","ESRA North-West","ESRA Mediterranean","Sweden","Portugal","internal"
2001,1545,"SE","PL","ESRA North-West","ESRA East","Sweden","Poland","internal"
2001,3593,"GB","CZ","ESRA North-West","ESRA East","United Kingdom","Czech Republic","internal"
2001,146,"FR","MK","ESRA North-West","ESRA East","France","Macedonia, the former Yugoslav Republic of","internal"
2001,1956,"DK","AT","ESRA North-West","ESRA North-West","Denmark","Austria","internal"
2001,493,"MT","CH","ESRA Mediterranean","ESRA North-West","Malta","Switzerland","internal"
2001,247,"NO","LT","ESRA North-West","Other Europe","Norway","Lithuania","internal"
2001,416,"AT","CY","ESRA North-West","ESRA Mediterranean","Austria","Cyprus","internal"
2001,4723,"PL","DK","ESRA East","ESRA North-West","Poland","Denmark","internal"
2001,312,"NO","CY","ESRA North-West","ESRA Mediterranean","Norway","Cyprus","internal"
2001,432,"HU","AL","ESRA East","ESRA East","Hungary","Albania","internal"
2001,746,"FI","GR","ESRA North-West","ESRA Mediterranean","Finland","Greece","internal"
2001,1006,"MK","CH","ESRA East","ESRA North-West","Macedonia, the former Yugoslav Republic of","Switzerland","internal"
2001,1285,"UA","PL","ESRA East","ESRA East","Ukraine","Poland","internal"
2001,616,"TR","CZ","ESRA Mediterranean","ESRA East","Turkey","Czech Republic","internal"
2001,359,"IE","AT","ESRA North-West","ESRA North-West","Ireland","Austria","internal"
2001,929,"HR","CH","ESRA East","ESRA North-West","Croatia","Switzerland","internal"
2001,444,"AL","CH","ESRA East","ESRA North-West","Albania","Switzerland","internal"
2001,776,"BA","AT","ESRA East","ESRA North-West","Bosnia and Herzegovina","Austria","internal"
2001,9,"FI","MK","ESRA North-West","ESRA East","Finland","Macedonia, the former Yugoslav Republic of","internal"
2001,146,"CY","MD","ESRA Mediterranean","ESRA East","Cyprus","Moldova, Republic of","internal"
2001,829,"HU","MD","ESRA East","ESRA East","Hungary","Moldova, Republic of","internal"
2001,362,"CZ","IE","ESRA East","ESRA North-West","Czech Republic","Ireland","internal"
2001,448,"NL","MT","ESRA North-West","ESRA Mediterranean","Netherlands","Malta","internal"
2001,1503,"NL","HU","ESRA North-West","ESRA East","Netherlands","Hungary","internal"
2001,1503,"CZ","DK","ESRA East","ESRA North-West","Czech Republic","Denmark","internal"
2001,192,"CY","BG","ESRA Mediterranean","ESRA East","Cyprus","Bulgaria","internal"
2001,1793,"MT","DE","ESRA Mediterranean","ESRA North-West","Malta","Germany","internal"
2001,602,"CY","SE","ESRA Mediterranean","ESRA North-West","Cyprus","Sweden","internal"
2001,77,"SE","SI","ESRA North-West","ESRA East","Sweden","Slovenia","internal"
2001,291,"AT","MT","ESRA North-West","ESRA Mediterranean","Austria","Malta","internal"
2001,22,"CY","HR","ESRA Mediterranean","ESRA East","Cyprus","Croatia","internal"
2001,475,"BG","RO","ESRA East","ESRA East","Bulgaria","Romania","internal"
2001,34,"SE","BA","ESRA North-West","ESRA East","Sweden","Bosnia and Herzegovina","internal"
2001,426,"BG","UA","ESRA East","ESRA East","Bulgaria","Ukraine","internal"
2001,180,"ES","RO","ESRA Mediterranean","ESRA East","Spain","Romania","internal"
2001,59,"MK","DK","ESRA East","ESRA North-West","Macedonia, the former Yugoslav Republic of","Denmark","internal"
2001,392,"SI","BA","ESRA East","ESRA East","Slovenia","Bosnia and Herzegovina","internal"
2001,644,"UA","FR","ESRA East","ESRA North-West","Ukraine","France","internal"
2001,2053,"SE","IT","ESRA North-West","ESRA Mediterranean","Sweden","Italy","internal"
2001,432,"AL","HU","ESRA East","ESRA East","Albania","Hungary","internal"
2001,1126,"FI","AT","ESRA North-West","ESRA North-West","Finland","Austria","internal"
2001,2102,"DE","SI","ESRA North-West","ESRA East","Germany","Slovenia","internal"
2001,46,"FR","GI","ESRA North-West","Other Europe","France","Gibraltar","internal"
2001,155,"DK","UA","ESRA North-West","ESRA East","Denmark","Ukraine","internal"
2001,364,"AT","IE","ESRA North-West","ESRA North-West","Austria","Ireland","internal"
2001,1895,"HU","AT","ESRA East","ESRA North-West","Hungary","Austria","internal"
2001,1940,"IT","IE","ESRA Mediterranean","ESRA North-West","Italy","Ireland","internal"
2001,202,"AL","SI","ESRA East","ESRA East","Albania","Slovenia","internal"
2001,181,"LT","FR","Other Europe","ESRA North-West","Lithuania","France","internal"
2001,639,"CY","NL","ESRA Mediterranean","ESRA North-West","Cyprus","Netherlands","internal"
2001,88,"GR","AM","ESRA Mediterranean","Other Europe","Greece","Armenia","internal"
2001,493,"CZ","UA","ESRA East","ESRA East","Czech Republic","Ukraine","internal"
2001,310,"EE","GB","Other Europe","ESRA North-West","Estonia","United Kingdom","internal"
2001,4,"DE","GI","ESRA North-West","Other Europe","Germany","Gibraltar","internal"
2001,311,"GB","EE","ESRA North-West","Other Europe","United Kingdom","Estonia","internal"
2001,523,"IT","FI","ESRA Mediterranean","ESRA North-West","Italy","Finland","internal"
2001,522,"ES","HU","ESRA Mediterranean","ESRA East","Spain","Hungary","internal"
2001,189,"BG","AL","ESRA East","ESRA East","Bulgaria","Albania","internal"
2001,17,"UA","LT","ESRA East","Other Europe","Ukraine","Lithuania","internal"
2001,14,"UA","AM","ESRA East","Other Europe","Ukraine","Armenia","internal"
2001,198,"AL","BG","ESRA East","ESRA East","Albania","Bulgaria","internal"
2001,163,"UA","DK","ESRA East","ESRA North-West","Ukraine","Denmark","internal"
2001,92,"NO","MT","ESRA North-West","ESRA Mediterranean","Norway","Malta","internal"
2001,36,"RO","UA","ESRA East","ESRA East","Romania","Ukraine","internal"
2001,20,"IE","RO","ESRA North-West","ESRA East","Ireland","Romania","internal"
2001,54,"GE","GR","Other Europe","ESRA Mediterranean","Georgia","Greece","internal"
2001,289,"FI","TR","ESRA North-West","ESRA Mediterranean","Finland","Turkey","internal"
2001,87,"AM","GR","Other Europe","ESRA Mediterranean","Armenia","Greece","internal"
2001,64,"PT","CZ","ESRA Mediterranean","ESRA East","Portugal","Czech Republic","internal"
2001,33,"LV","CH","Other Europe","ESRA North-West","Latvia","Switzerland","internal"
2001,8,"IE","BA","ESRA North-West","ESRA East","Ireland","Bosnia and Herzegovina","internal"
2001,75,"GR","HR","ESRA Mediterranean","ESRA East","Greece","Croatia","internal"
2001,4,"AL","BA","ESRA East","ESRA East","Albania","Bosnia and Herzegovina","internal"
2001,127,"LT","TR","Other Europe","ESRA Mediterranean","Lithuania","Turkey","internal"
2001,64,"CY","SK","ESRA Mediterranean","ESRA East","Cyprus","Slovakia","internal"
2001,36,"LV","FR","Other Europe","ESRA North-West","Latvia","France","internal"
2001,4,"AL","HR","ESRA East","ESRA East","Albania","Croatia","internal"
2001,181,"GR","LU","ESRA Mediterranean","ESRA North-West","Greece","Luxembourg","internal"
2001,32,"UA","SE","ESRA East","ESRA North-West","Ukraine","Sweden","internal"
2001,4,"RO","AM","ESRA East","Other Europe","Romania","Armenia","internal"
