"YEAR","NB_OF_FLIGHT","DEP_ISO_COUNTRY_CODE","DES_ISO_COUNTRY_CODE"
"2001",3050,"XF","FR"
"2001",19982,"US","DE"
"2001",64416,"GB","IE"
"2001",7696,"CY","GB"
"2001",256,"SY","IT"
"2001",5545,"IT","EG"
"2001",463888,"ES","ES"
"2001",1867,"DK","LT"
"2001",666,"IS","DE"
"2001",615,"HK","NL"
"2001",4951,"TR","FR"
"2001",27942,"CH","CH"
"2001",17225,"IT","CH"
"2001",35590,"FR","CH"
"2001",1500,"HU","NL"
"2001",75715,"GB","FR"
"2001",16839,"IT","BE"
"2001",19307,"BE","FR"
"2001",4,"NO","BB"
"2001",6016,"AT","NL"
"2001",60213,"NL","GB"
"2001",729,"AZ","TR"
"2001",130,"SY","LY"
"2001",289,"AZ","GB"
"2001",26609,"AT","AT"
"2001",12089,"NL","IT"
"2001",51756,"DK","DK"
"2001",4464,"DK","CH"
"2001",477,"CY","IT"
"2001",1163,"AT","BG"
"2001",1382,"DE","DO"
"2001",1841,"JP","DE"
"2001",252,"DE","VE"
"2001",13986,"PL","DE"
"2001",332,"IT","DO"
"2001",199,"RU","CA"
"2001",2694,"RU","GB"
"2001",3042,"CH","TR"
"2001",7463,"IT","AT"
"2001",552,"FR","ML"
"2001",4835,"IE","US"
"2001",2010,"FR","AE"
"2001",3436,"PT","CH"
"2001",10882,"FR","MA"
"2001",743,"CH","IN"
"2001",3599,"CZ","GB"
"2001",1089,"PL","US"
"2001",3004,"DE","AE"
"2001",1957,"IT","MA"
"2001",95,"UG","GB"
"2001",1523,"TR","SA"
"2001",1495,"BE","NO"
"2001",176,"MT","GR"
"2001",5318,"TR","NL"
"2001",1629,"GB","SA"
"2001",1777,"EE","SE"
"2001",477,"PT","SE"
"2001",289,"FR","MR"
"2001",1006,"TN","ES"
"2001",2218,"PL","IT"
"2001",1127,"ES","IL"
"2001",992,"TR","ES"
"2001",1630,"ES","DZ"
"2001",2035,"MT","IT"
"2001",9119,"PT","DE"
"2001",32,"MA","CZ"
"2001",790,"RU","MD"
"2001",665,"MY","NL"
"2001",275,"EG","TN"
"2001",1421,"IT","HU"
"2001",1139,"CH","FI"
"2001",992,"HR","BA"
"2001",703,"ZA","CH"
"2001",112,"FR","YE"
"2001",269,"FR","KE"
"2001",634,"KE","GB"
"2001",380,"ZW","GB"
"2001",500,"TR","JO"
"2001",150,"FR","PK"
"2001",429,"TR","SI"
"2001",1026,"GB","MY"
"2001",23,"CU","RU"
"2001",146,"AE","MA"
"2001",128,"PK","TR"
"2001",415,"GB","TJ"
"2001",1401,"EG","NL"
"2001",640,"SJ","NO"
"2001",445,"IL","PL"
"2001",1876,"FI","ES"
"2001",165,"IR","GB"
"2001",441,"MV","IT"
"2001",1238,"EG","CH"
"2001",504,"PT","CV"
"2001",3869,"GB","MT"
"2001",1392,"DK","IE"
"2001",303,"PK","DE"
"2001",445,"SE","PT"
"2001",637,"CU","DE"
"2001",1545,"SE","PL"
"2001",3593,"GB","CZ"
"2001",146,"FR","MK"
"2001",499,"SA","BE"
"2001",211,"ES","CA"
"2001",151,"NG","LB"
